geo,All taxes and levies included,Excluding VAT and other recoverable taxes and levies,Excluding taxes and levies
Austria,0.0767,0.0639,0.057
Belgium,0.0939,0.0798,0.0785
Bosnia and Herz.,0.0438,0.0375,0.0375
Bulgaria,0.0764,0.0636,0.0798
Croatia,0.0412,0.0346,0.0346
Czech Rep.,0.101,0.0835,0.0834
Denmark,0.16,0.1217,0.1207
EU27,0.0861,0.0749,0.0629
Estonia,0.1106,0.0922,0.0883
Euro area,0.0908,0.0791,0.0648
France,0.085,0.0726,0.0622
Georgia,0.0151,0.0128,0.0128
Germany,0.0806,0.0677,0.0561
Greece,0.0888,0.0837,0.0922
Hungary,0.0291,0.0229,0.0229
Ireland,0.0847,0.0751,0.069
Italy,0.0986,0.0939,0.0782
Latvia,0.0462,0.0382,0.0593
Liechtenstein,0.1128,0.1048,0.0837
Lithuania,0.0587,0.0485,0.0465
Luxembourg,0.0856,0.0792,0.0781
Moldova,0.0842,0.0779,0.0779
Netherlands,0.1293,0.1068,0.0608
North Macedonia,0.121,0.1025,0.1025
Poland,0.0549,0.0547,0.0542
Portugal,0.0837,0.0684,0.0602
Romania,0.0611,0.0513,0.0513
Serbia,0.0336,0.0306,0.0305
Slovakia,0.0488,0.0407,0.0407
Slovenia,0.0691,0.0566,0.0507
Spain,0.0897,0.0742,0.0696
Sweden,0.2216,0.1773,0.1489
Turkey,0.017,0.0144,0.0143
